VBELV,VBELN,REPETICIONES
82384050,0001166999,20
91782090,0001166276,3
91782172,0001166337,13
82393161,0001168377,16
82388446,0001167499,27
82388461,0001167513,11
91783495,0001166948,24
91782040,0001166186,17
82388939,0001167766,6
82388478,0001167529,15
82393153,0001168370,27
82379339,0001166236,27
91786530,0001168385,23
82383356,0001166721,3
91783479,0001166951,28
91783463,0001166932,14
82383759,0001166917,27
82393102,0001168323,2
91785074,0001167651,24
91782067,0001166176,26
91783607,0001167009,28
91784813,0001167444,6
91783360,0001166767,3
91784825,0001167449,28
82379288,0001166186,16
91784725,0001167406,28
91785283,0001167947,28
91785140,0001167771,15
91784822,0001167461,8
91782135,0001166210,28
82388824,0001167707,3
91784720,0001167392,28
82383654,0001166807,18
82383840,0001166955,27
91785091,0001167821,2
91782180,0001166324,3
82388775,0001167668,14
82389017,0001167650,11
82388454,0001167506,27
91783398,0001166807,19
91782031,0001166183,28
82388166,0001167440,27
82379357,0001166254,12
91785022,0001167708,28
91785195,0001167889,2
91782114,0001166217,20
82388865,0001167716,27
91784963,0001167680,28
82388902,0001167755,27
91785104,0001167834,2
91786489,0001168322,2
91784976,0001167672,14
91783525,0001166979,28
91785066,0001167616,7
91784776,0001167430,13
91784990,0001167706,17
82388776,0001167669,15
91783608,0001167011,4
91786510,0001168391,8
91783471,0001166936,3
82389408,0001167967,20
91782140,0001166218,13
82388918,0001167616,6
82388536,0001167534,19
91784801,0001167423,2
91784902,0001167526,2
82379599,0001166325,27
91782007,0001166192,2
82383830,0001166940,27
82389067,0001167861,10
82379405,0001166292,19
91784738,0001167385,11
82383398,0001166776,2
82383711,0001166830,2
82388773,0001167666,27
91785055,0001167758,4
91785006,0001167733,28
91782171,0001166329,24
82383836,0001166951,27
91785301,0001167945,25
91782111,0001166273,4
91783289,0001166720,28
91786477,0001168388,2
91785008,0001167735,10
91785048,0001167752,28
91784998,0001167698,8
82389551,0001167990,2
91785050,0001167754,28
91785288,0001167967,21
82383369,0001166732,3
91784878,0001167516,5
82393165,0001168381,25
82383874,0001166862,6
91782013,0001166151,28
91782027,0001166179,28
82388886,0001167737,27
91786465,0001168323,3
82383368,0001166731,16
91784979,0001167662,28
91785056,0001167759,28
91783313,0001166725,2
82379639,0001166327,27
82388182,0001167456,8
91784980,0001167671,24
91783502,0001166967,17
82379647,0001166335,5
91782008,0001166193,4
82388463,0001167515,16
91782012,0001166202,17
91782163,0001166336,6
91783456,0001166925,28
82383941,0001166988,6
91783309,0001166709,2
91783508,0001166862,7
91785077,0001167810,2
91783420,0001166825,12
82389370,0001167933,8
91782014,0001166194,2
82379347,0001166244,27
91782187,0001166373,10
91784864,0001167510,19
82383371,0001166692,4
82379340,0001166237,12
91783466,0001166931,11
82389397,0001167956,27
91783501,0001166966,19
91786457,0001168324,2
91784859,0001167515,17
91783362,0001166776,3
82383767,0001166925,27
91785092,0001167822,2
82379316,0001166212,27
91783404,0001166803,7
91786529,0001168395,26
91784828,0001167462,2
82388870,0001167721,27
91786500,0001168337,2
82388652,0001167555,2
82388737,0001167663,2
82388878,0001167729,3
82389396,0001167955,27
91784943,0001167553,2
91783503,0001166858,28
82389402,0001167961,27
82388118,0001167397,9
91785202,0001167896,2
91783406,0001166810,16
91783604,0001167006,6
91785046,0001167745,14
82383367,0001166693,24
91785071,0001167768,23
82388657,0001167560,10
82388893,0001167745,13
82383828,0001166853,11
