PEDIDO,EXISTE_EN_TRACKING,EXISTE_EN_TABLA_LINEAS,FILAS_TABLA_LINEAS,LINEAS,UNIDADES,DUPLICADO,RESULTADO,OBSERVACION
4190140014,SI,NO,0,,,NO,SIN_COBERTURA,
4190140010,SI,NO,0,,,NO,SIN_COBERTURA,
4190140009,SI,NO,0,,,NO,SIN_COBERTURA,
4190140008,SI,NO,0,,,NO,SIN_COBERTURA,
4190140011,SI,SI,1,32,276,NO,OK,
4190140005,SI,NO,0,,,NO,SIN_COBERTURA,
4190140002,SI,SI,1,24,336,NO,OK,
4190140001,SI,NO,0,,,NO,SIN_COBERTURA,
4190139998,SI,SI,1,10,170,NO,OK,
4190139994,SI,SI,1,2,24,NO,OK,
4190139993,SI,NO,0,,,NO,SIN_COBERTURA,
4190139989,SI,SI,1,51,955,NO,OK,
1168070,SI,NO,0,,,NO,SIN_COBERTURA,
4190139987,SI,SI,1,38,1276,NO,OK,
4190139985,SI,NO,0,,,NO,SIN_COBERTURA,
4190139981,SI,NO,0,,,NO,SIN_COBERTURA,
4190139980,SI,SI,1,31,1519,NO,OK,
4190139978,SI,NO,0,,,NO,SIN_COBERTURA,
4190139976,SI,NO,0,,,NO,SIN_COBERTURA,
4190139974,SI,NO,0,,,NO,SIN_COBERTURA,
4190139973,SI,SI,1,32,1808,NO,OK,
1168046,SI,NO,0,,,NO,SIN_COBERTURA,
4190139970,SI,NO,0,,,NO,SIN_COBERTURA,
1168029,SI,NO,0,,,NO,SIN_COBERTURA,
1168028,SI,NO,0,,,NO,SIN_COBERTURA,
4190139960,SI,NO,0,,,NO,SIN_COBERTURA,
4190139959,SI,SI,1,5,720,NO,OK,
4190139955,SI,NO,0,,,NO,SIN_COBERTURA,
4190139954,SI,NO,0,,,NO,SIN_COBERTURA,
4190139956,SI,NO,0,,,NO,SIN_COBERTURA,
1167327,SI,SI,1,9,1722,NO,OK,
1167325,SI,SI,1,26,350,NO,OK,
4190139847,SI,NO,0,,,NO,SIN_COBERTURA,
