CLIENTE,VENDEDOR,FLUJO,MES_1,FUERA_SLA_MES_1,MES_2,FUERA_SLA_MES_2,MES_3,FUERA_SLA_MES_3,MESES_FUERA_SLA,CLASIFICACION_RECURRENCIA,PEDIDOS_TOTAL,PEDIDOS_FUERA_SLA,PORCENTAJE_FUERA_SLA,PROMEDIO_DH_FUERA_SLA,P90_DH_FUERA_SLA
750250,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
650305,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,2,0,0.0,,
500165,V550,FES,2026-05,NO,2026-06,SI,2026-07,NO,1,Puntual 1M,4,1,25.0,9.0,9
210136,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,2,0,0.0,,
310017,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,2,0,0.0,,
850064,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
210151,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
793001,V800,NORMAL,2026-05,SI,2026-06,SI,2026-07,NO,2,Recurrente 2M,6,2,33.33,8.0,8
750182,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
700038,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,2,0,0.0,,
595012,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
655013,V580,FES,2026-05,NO,2026-06,SI,2026-07,NO,1,Puntual 1M,4,2,50.0,8.0,7
700055,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,3,0,0.0,,
900190,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,2,0,0.0,,
700165,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,3,0,0.0,,
750325,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
135002,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
265016,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,3,0,0.0,,
315012,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
315008,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,2,0,0.0,,
850145,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
260025,V835,FES,2026-05,NO,2026-06,SI,2026-07,NO,1,Puntual 1M,2,1,50.0,6.0,6
695001,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,4,0,0.0,,
300032,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,3,0,0.0,,
925015,V800,NORMAL,2026-05,SI,2026-06,NO,2026-07,NO,1,Puntual 1M,3,1,33.33,6.0,6
480028,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
130030,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,2,0,0.0,,
150180,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
769002,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
100082,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,2,0,0.0,,
600135,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
750186,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,4,0,0.0,,
350150,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,3,0,0.0,,
100209,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
500319,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
530075,V550,FES,2026-05,NO,2026-06,SI,2026-07,NO,1,Puntual 1M,3,1,33.33,15.0,15
498018,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,3,0,0.0,,
610035,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
750272,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,2,0,0.0,,
150261,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
750274,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
750219,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,2,0,0.0,,
210187,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,2,0,0.0,,
345079,,,2026-05,NO,2026-06,NO,2026-07,NO,0,Sin incumplimiento,1,0,0.0,,
