tabla_hija,columna_master_referenciada,uso
Resultado,PAC_P_FECHA_HORA,OTHER (full table → Python)
Resultado,FAC_P_FECHA_HORA_REAL,OTHER (full table → Python)
Resultado,FAC_U_FECHA_HORA,OTHER (full table → Python)
Resultado,TRP_P_FECHA_HORA,OTHER (full table → Python)
Resultado,TRP_U_FECHA_HORA,OTHER (full table → Python)
Resultado,PED_CENTRO,OTHER (full table → Python)
Resultado,PED_ORDEN_COMPRA_CLIENTE,OTHER (full table → Python)
Resultado,DH_CREDITO_COBRANZAS,OTHER (full table → Python)
Resultado,DH_OPERACION_INTERNA,OTHER (full table → Python)
Resultado,DH_CREDITO_A_PRIMERA_ENTREGA,OTHER (full table → Python)
Resultado,DH_PRIMERA_ENTREGA_A_PRIMER_PICKING,OTHER (full table → Python)
Resultado,DH_PRIMER_PICKING_A_PRIMERA_FACTURA,OTHER (full table → Python)
Resultado,DH_LEAD_NORMAL,OTHER (full table → Python)
Resultado,ESTADO_SLA_NORMAL,OTHER (full table → Python)
Resultado,PROCESO_DOMINANTE_NORMAL,OTHER (full table → Python)
Resultado,MES_CREACION,OTHER (full table → Python)
Resultado,DIA_MES_CREACION,OTHER (full table → Python)
Resultado,TRAMO_MES_CALENDARIO,OTHER (full table → Python)
Resultado,ES_ULTIMOS_7_DIAS_HABILES_MES,OTHER (full table → Python)
Resultado,AUD_PCT_COBERTURA_HITOS,OTHER (full table → Python)
Resultado,AUD_TOTAL_CRITICAS,OTHER (full table → Python)
Resultado,AUD_TOTAL_ADVERTENCIAS,OTHER (full table → Python)
Resultado,AUD_TOTAL_INCONGRUENCIAS,OTHER (full table → Python)
Resultado,AUD_REQUIERE_REVISION,OTHER (full table → Python)
Resultado,AUD_ESTADO_FLUJO_NORMAL,OTHER (full table → Python)
Resultado,AUD_ESTADO_FLUJO_FES,OTHER (full table → Python)
Resultado,AUD_ESTADO_FLUJO_SALDO,OTHER (full table → Python)
Resultado,AUD_ESTADO_GENERAL,OTHER (full table → Python)
Resultado,AUD_PRINCIPAL_INCONGRUENCIA,OTHER (full table → Python)
Resultado,PED_FECHA,OTHER (full table → Python)
Resultado,PRIMERA_FECHA_PEDIDO_POSTERIOR,OTHER (full table → Python)
Resultado,ULTIMA_FECHA_PEDIDO_POSTERIOR,OTHER (full table → Python)
Resultado,PRIMERA_FECHA_ENTREGA_POSTERIOR,OTHER (full table → Python)
Resultado,ULTIMA_FECHA_ENTREGA_POSTERIOR,OTHER (full table → Python)
Resultado,PRIMERA_FECHA_MANIFIESTO,OTHER (full table → Python)
Resultado,ULTIMA_FECHA_MANIFIESTO,OTHER (full table → Python)
Resultado,DH_COMERCIAL_PDA_SAC,OTHER (full table → Python)
Resultado,DH_PRIMER_PICKING_A_PRIMER_PACKING,OTHER (full table → Python)
Resultado,DH_PRIMER_PACKING_A_PRIMERA_FACTURA,OTHER (full table → Python)
