database_name	fecha_desde	fecha_hasta	server_now
DMF_VTA_PRD	2026-05-12	2026-08-12	2026-08-12 10:32:12.873000
---
CANAL	CAUSA_HORA	PEDIDOS
43	ZART_HORA_000000	121
43	ZART_HORA_VALIDA	1111
45	ZART_HORA_000000	33
45	ZART_HORA_VALIDA	268
---
CANAL	PEDIDOS_TOTAL	PEDIDOS_HORA_VALIDA	PEDIDOS_SIN_HORA_VALIDA	COBERTURA_HORA_PCT
43	1232	1111	121	90.18
45	301	268	33	89.04
---
CANAL	CAUSA_ZART	ESTADO_VBAK	PEDIDOS
43	ZART_HORA_000000	SIN_VBAK	1
43	ZART_HORA_000000	VBAK_RECUPERABLE	120
45	ZART_HORA_000000	VBAK_RECUPERABLE	33
---
PEDIDO	CANAL	ZART_FECHA_RAW	ZART_HORA_RAW	ZART_CAUSA	AUART	VBAK_FECHA_RAW	VBAK_HORA_RAW	VBAK_HORA_PARSED	VBAK_CAUSA
4190139565	43	Jun  2 2026  6:02PM	180218	ZART_HORA_000000	ZPDA	02-06-2026	18:02:18	18:02:18	VBAK_HORA_VALIDA
4190139586	43	Jun  4 2026  3:11PM	151128	ZART_HORA_000000	ZPDA	04-06-2026	15:11:28	15:11:28	VBAK_HORA_VALIDA
4190139589	43	Jun  4 2026  4:10PM	161013	ZART_HORA_000000	ZPDA	04-06-2026	16:10:13	16:10:13	VBAK_HORA_VALIDA
4190139594	43	Jun  4 2026  6:07PM	180707	ZART_HORA_000000	ZPDA	04-06-2026	18:07:07	18:07:07	VBAK_HORA_VALIDA
4190139610	43	Jun  8 2026  5:07PM	170701	ZART_HORA_000000	ZPDA	08-06-2026	17:07:01	17:07:01	VBAK_HORA_VALIDA
4190139626	43	Jun  9 2026  3:09PM	150913	ZART_HORA_000000	ZPDA	09-06-2026	15:09:13	15:09:13	VBAK_HORA_VALIDA
4190139636	43	Jun 10 2026 11:08AM	110820	ZART_HORA_000000	ZPDA	10-06-2026	11:08:20	11:08:20	VBAK_HORA_VALIDA
4190139651	43	Jun 11 2026  9:06AM	090620	ZART_HORA_000000	ZPDA	11-06-2026	09:06:20	09:06:20	VBAK_HORA_VALIDA
4190139659	43	Jun 11 2026 10:04AM	100404	ZART_HORA_000000	ZPDA	11-06-2026	10:04:04	10:04:04	VBAK_HORA_VALIDA
4190139669	43	Jun 11 2026  1:07PM	130709	ZART_HORA_000000	ZPDA	11-06-2026	13:07:09	13:07:09	VBAK_HORA_VALIDA
4190139679	43	Jun 11 2026  8:02PM	200214	ZART_HORA_000000	ZPDA	11-06-2026	20:02:14	20:02:14	VBAK_HORA_VALIDA
4190139680	43	Jun 11 2026 10:11PM	221128	ZART_HORA_000000	ZPDA	11-06-2026	22:11:28	22:11:28	VBAK_HORA_VALIDA
