source_type,source_object,target_type,target_object,dependency_kind,file,evidence
COLUMN,Resultado[MOTIVO_EXCLUSION_ML],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,MOTIVO_EXCLUSION_ML
COLUMN,Resultado[N_ENTRENAMIENTO_FINAL],TABLE_OR_MEASURE_FILE,Medidas,DAX_OR_M_EXPLICIT,NS.SemanticModel\definition\tables\Medidas.tmdl,Resultado[N_ENTRENAMIENTO_FINAL]
COLUMN,Resultado[N_ENTRENAMIENTO_FINAL],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,N_ENTRENAMIENTO_FINAL
COLUMN,Resultado[N_TEST_VALIDACION],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,N_TEST_VALIDACION
COLUMN,Resultado[N_TRAIN_VALIDACION],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,N_TRAIN_VALIDACION
COLUMN,Resultado[PEDIDOS_PENDIENTES_ALTO],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,PEDIDOS_PENDIENTES_ALTO
COLUMN,Resultado[PEDIDOS_PENDIENTES_MODELO],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,PEDIDOS_PENDIENTES_MODELO
COLUMN,Resultado[PED_CANAL],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,PED_CANAL
COLUMN,Resultado[PED_CANAL_CODIGO],TABLE,Fact_Hitos_Operacionales,M_BRACKET+M_OR_PYTHON_STRING,NS.SemanticModel\definition\tables\Fact_Hitos_Operacionales.tmdl,PED_CANAL_CODIGO
COLUMN,Resultado[PED_CANAL_CODIGO],TABLE,Fact_Tracking,M_OR_PYTHON_STRING,NS.SemanticModel\definition\tables\Fact_Tracking.tmdl,PED_CANAL_CODIGO
COLUMN,Resultado[PED_CANAL_CODIGO],CULTURE,es-ES,TRANSLATION_ONLY,NS.SemanticModel\definition\cultures\es-ES.tmdl,PED_CANAL_CODIGO
COLUMN,Resultado[PED_CODIGO_CLIENTE],TABLE,Fact_Hitos_Operacionales,M_OR_PYTHON_STRING,NS.SemanticModel\definition\tables\Fact_Hitos_Operacionales.tmdl,PED_CODIGO_CLIENTE
COLUMN,Resultado[PED_CODIGO_CLIENTE],TABLE,Fact_Tracking,M_OR_PYTHON_STRING,NS.SemanticModel\definition\tables\Fact_Tracking.tmdl,PED_CODIGO_CLIENTE
